Domain,Primary domain,Name,Domain type,Organization,Status,Region,GovSystem,HTTP Support,HTTPS Support,Statuscode,Is archived,Archives,Archive priority,Archive Strategy,ASN,ASN Country code,IPs,GovType
csr.mvd.ru,,,Сайт госучреждения,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
cumts.dt.mvd.ru,,ФКУ «Центральное окружное управлениематериально-технического снабжения МВД России»,Сайт госучреждения,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
danilovka.34.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
demyansk.53.mvd.ru,,"МО МВД России ""Демянский""  Новгородской области",Сайт территориального управления ФОИВ,МВД России,,Новгородская область,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
dergachi.64.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,,Саратовская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
dev.forma.mvd.ru,,,Иное,МВД России,Пустая страница,,,Да,Да,403,,,Не архивируется,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
dev.gibdd.mvd.ru,,,Иное,МВД России,Запаролено,,,Да,Да,401,,,Не архивируется,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
dev.master.oc.mvd.ru,,,Иное,МВД России,Пустая страница,,,Да,Да,403,,,Не архивируется,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
dev.mvd.ru,,,Иное,МВД России,Запаролено,,,Да,Да,401,,,Не архивируется,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
dev.region.oc.mvd.ru,,,Иное,МВД России,Пустая страница,,,Да,Да,403,,,Не архивируется,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
dfout.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
dgsk.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
dinamo.dgsk.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
dinskoi.23.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
dmitriev.46.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
dmitrov.50.mvd.ru,,УМВД России по Дмитровскому г.о.,Сайт территориального управления ФОИВ,МВД России,,Московская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
dng.25.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
dnr.25.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
dolgoe.dt.mvd.ru,,,,МВД России,,,,Да,Да,500,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
domodedovo.50.mvd.ru,,УМВД России по г.о. Домодедово,Сайт территориального управления ФОИВ,МВД России,,Московская область,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
druzhba.dt.mvd.ru,,,Сайт госучреждения,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
dt.mvd.ru,,,Сайт подразделения при органе власти,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
dubna.50.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,,Московская область,,Нет,Да,,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
dubovka.34.mvd.ru,,,,МВД России,,,,Нет,Да,,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
dumts.mvd.ru,,ФКУ «Дальневосточное окружное управлениематериально-технического снабжения МВД России»,Сайт госучреждения,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
dvui.mvd.ru,,Дальневосточный юридический институт Министерства внутренних дел Российской Федерации,Сайт госучреждения,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
dyatkovo.32.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
dzerginsk.52.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
dzhida.03.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,Пустая страница,Республика Бурятия,,Да,Нет,503,,,Не архивируется,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
e.dev.gibdd.mvd.ru,,,Иное,МВД России,Запаролено,,,Да,Да,401,,,Не архивируется,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
egoryevsk.50.mvd.ru,,ОМВД России по г.о. Егорьевск,Сайт территориального управления ФОИВ,МВД России,,Московская область,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
eios.orui.mvd.ru,,Электронная информационно-образовательная среда Орловского юридического института МВД России имени В.В.Лукьянова,Иное,МВД России,,Орловская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
eios.vipk.mvd.ru,,,Иное,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
elan.34.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
elbrus.dt.mvd.ru,,,Сайт госучреждения,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
elektrostal.50.mvd.ru,,УМВД России по г.о. Электросталь,Сайт территориального управления ФОИВ,МВД России,,Московская область,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
emelyanovo.24.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,,Красноярский край,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
en.dev.mvd.ru,,,Иное,МВД России,Запаролено,,,Да,Да,401,,,Не архивируется,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
en.guvm.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,82.202.190.3,Федеральная исполнительная власть
en.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
en.na.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
en.vipk.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
engels.64.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,,Саратовская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
enis.24.mvd.ru,,"МО МВД России ""Енисейский""",Сайт территориального управления ФОИВ,МВД России,,Красноярский край,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
ershov.64.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,,Саратовская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
ershsrs.mvd.ru,,"Филиал федерального государственного казенного учреждения дополнительного профессионального образования ""Ростовская школа служебно-розыскного собаководства МВД России"" (г. Егорьевск)",Сайт госучреждения,МВД России,,Ростовская область,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
esiirk.mvd.ru,,Восточно-Сибирский институт Министерства внутренних дел Российской Федерации,Сайт госучреждения,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
esvu.mvd.ru,,Федеральное государственное казенное общеобразовательное учреждение   «Елабужское суворовское военное училище Министерства внутренних дел Российской Федерации»,Сайт госучреждения,МВД России,,Республика Татарстан,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
fatezh.46.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
fgku.92.mvd.ru,,,,МВД России,Пустая страница,,,Да,Нет,503,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
fkn.25.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
forma.mvd.ru,,,,МВД России,Неактивен,,,Нет,Нет,,,,,,,,,Федеральная исполнительная власть
fr.na.mvd.ru,,,,МВД России,,,,Да,Да,500,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
frolovo.34.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
frunz.78.mvd.ru,,УМВД России по Фрунзенскому району г.Санкт-Петербурга,Сайт территориального управления ФОИВ,МВД России,,Санкт-Петербург,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
gak.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
gatchina.78.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,,Ленинградская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
gcsp.mvd.ru,,"ФКУ ""ГЦСП МВД России""",Сайт госучреждения,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
gel.23.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
gi.01.mvd.ru,,Отдел МВД России по Гиагинскому району,Сайт территориального управления ФОИВ,МВД России,,Республика Адыгея,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
gibdd.mvd.ru,,,Иное,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
gkg.dt.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
glazov.18.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
glushkovo.46.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
gorbatov.dt.mvd.ru,,,Сайт госучреждения,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
gorkluch.23.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
gorodische.34.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
gorshechnoe.46.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
gsu.77.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,,Москва,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
gsu.msk.mvd.ru,,,,МВД России,,Москва,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
gsvu.mvd.ru,,Грозненское суворовское военное училище Министерства внутренних дел Российской Федерации имени Героя Российской Федерации А.А. Кадырова,Сайт госучреждения,МВД России,,Чеченская республика,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
gtn.lo.78.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,Пустая страница,Ленинградская область,,Да,Нет,503,,,Не архивируется,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
gulkevichi.23.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
gut.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
guvm.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,82.202.190.3,Федеральная исполнительная власть
homutovka.46.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
horinskii.03.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,Пустая страница,Республика Бурятия,,Да,Нет,503,,,Не архивируется,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
hosta.dt.mvd.ru,,,Сайт госучреждения,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
ic.09.mvd.ru,,,,МВД России,Пустая страница,,,Да,Нет,503,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
ic.31.mvd.ru,,,Иное,МВД России,,Белгородская область,,Да,Да,500,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
idp.sudis.mvd.ru,,,,МВД России,Пустая страница,,,Да,Нет,503,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
igra.18.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
ilovlya.34.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
irbey.24.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,,Красноярский край,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
iskra.dt.mvd.ru,,,Сайт госучреждения,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
istra.50.mvd.ru,,ОМВД России по городскому округу Истра,Сайт территориального управления ФОИВ,МВД России,,Московская область,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
ivolga.03.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,Пустая страница,Республика Бурятия,,Да,Нет,503,,,Не архивируется,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
izumrudny.dt.mvd.ru,,,Сайт госучреждения,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
junost.dt.mvd.ru,,"ФКУЗ ""Санаторий «Юность» МВД России""",Сайт госучреждения,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kabansk.03.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,Пустая страница,Республика Бурятия,,Да,Нет,503,,,Не архивируется,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kalachdon.34.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kalin.78.mvd.ru,,УМВД России по Калининскому району г.Санкт-Петербурга,Сайт территориального управления ФОИВ,МВД России,,Санкт-Петербург,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kalinin.23.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kalinin.64.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,,Саратовская область,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kambarka.18.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kamyshin.34.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kanevsk.23.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kansk.24.mvd.ru,,"МО МВД России ""Канский""",Сайт территориального управления ФОИВ,МВД России,,Красноярский край,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
karachev.32.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
karm.64.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,,Саратовская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kashira.50.mvd.ru,,ОМВД России по г.о. Кашира,Сайт территориального управления ФОИВ,МВД России,,Московская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kastornoe.46.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kavkaz.23.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kazachinskii.24.mvd.ru,,"МО МВД РОССИИ ""КАЗАЧИНСКИЙ""",Сайт территориального управления ФОИВ,МВД России,,Красноярский край,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kemerovo.42.mvd.ru,,,,МВД России,Пустая страница,,,Да,Нет,503,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kez.18.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kf.krdu.mvd.ru,,Крымский филиал Краснодарского университета МВД России,Сайт госучреждения,МВД России,,Краснодарский край,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
khimki.50.mvd.ru,,УМВД России по г.о. Химки,Сайт территориального управления ФОИВ,МВД России,,Московская область,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
khn.25.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
khr.25.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
khs.25.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
khvoynaya.53.mvd.ru,,ОМВД России по Хвойнинскому району Новгородской области,Сайт территориального управления ФОИВ,МВД России,,Новгородская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kikvidze.34.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kilmez.43.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kinel.63.mvd.ru,,,,МВД России,,,,Да,Да,500,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
king.lo.78.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,Пустая страница,Ленинградская область,,Да,Нет,503,,,Не архивируется,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kingisepp.78.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,,Ленинградская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kir.78.mvd.ru,,УМВД России по Кировскому району г.Санкт-Петербурга,Сайт территориального управления ФОИВ,МВД России,,Санкт-Петербург,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kir.lo.78.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,Пустая страница,Ленинградская область,,Да,Нет,503,,,Не архивируется,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kirish.lo.78.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,Пустая страница,Ленинградская область,,Да,Нет,503,,,Не архивируется,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kirishi.78.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,,Ленинградская область,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kirov.43.mvd.ru,,Управление МВД России по городу Кирову,Сайт территориального управления ФОИВ,МВД России,,Кировская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kirovsk.78.mvd.ru,,ОМВД России по Кировскому району Ленинградской области,Сайт территориального управления ФОИВ,МВД России,,Ленинградская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kirs.43.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kizner.18.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kletskiy.34.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
klif.univer.mvd.ru,,Санкт-Петербургский университет Министерства внутренних дел Российской Федерации (Калининградский филиал),Сайт госучреждения,МВД России,,Калининградская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
klin.50.mvd.ru,,ОМВД России по городскому округу Клин,Сайт территориального управления ФОИВ,МВД России,,Московская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
klincy.32.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
ko.01.mvd.ru,,"Межмуниципальный отдел МВД России   ""Кошехабльский"" ",Сайт территориального управления ФОИВ,МВД России,,Республика Адыгея,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kolomna.50.mvd.ru,,УМВД России по Коломенскомугородскому округу,Сайт территориального управления ФОИВ,МВД России,,Московская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kolp.78.mvd.ru,,ОМВД России по Колпинскому району г.Санкт-Петербурга,Сайт территориального управления ФОИВ,МВД России,,Санкт-Петербург,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
koms.27.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,,Амурская область,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
konishevka.46.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
korenevo.46.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
korenovsk.23.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
korolev.50.mvd.ru,,УМВД России по городскому округу Королев,Сайт территориального управления ФОИВ,МВД России,,Московская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kotel.43.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kotelnikovo.34.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
kotovo.34.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kr.01.mvd.ru,,Отдел МВД России по Красногвардейскому  району ,Сайт территориального управления ФОИВ,МВД России,,Республика Адыгея,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kras.78.mvd.ru,,УМВД России по Красносельскому району г.Санкт-Петербурга,Сайт территориального управления ФОИВ,МВД России,,Санкт-Петербург,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
krasnodar.23.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,,Краснодарский край,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
krasnogorsk.50.mvd.ru,,УМВД России по г. о. Красногорск,Сайт территориального управления ФОИВ,МВД России,,Московская область,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
krasnojarskij.63.mvd.ru,,,,МВД России,,,,Да,Да,500,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
krasnoturansk.24.mvd.ru,,МО МВД России «Краснотуранский»,Сайт территориального управления ФОИВ,МВД России,,Красноярский край,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
krasnoyarsk.24.mvd.ru,,Межмуниципальное управление МВД России «Красноярское»,Сайт территориального управления ФОИВ,МВД России,,Красноярский край,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
krdu.mvd.ru,,,Сайт госучреждения,МВД России,,Краснодарский край,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
krestcy.53.mvd.ru,,ОМВД России по Крестецкому району Новгородской области,Сайт территориального управления ФОИВ,МВД России,,Новгородская область,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
krgv.78.mvd.ru,,УМВД России по Красногвардейскому району г.Санкт-Петербурга,Сайт территориального управления ФОИВ,МВД России,,Санкт-Петербург,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kril.23.mvd.ru,,,,МВД России,,,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
krkut.64.mvd.ru,,,Сайт территориального управления ФОИВ,МВД России,,Саратовская область,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
krmut.mvd.ru,,Крымское линейное управление МВД России на транспорте,Сайт территориального управления ФОИВ,МВД России,,Республика Крым,,Да,Да,200,,,,,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
kron.78.mvd.ru,,ОМВД России по Кронштадтскому району г.Санкт-Петербурга,Сайт территориального управления ФОИВ,МВД России,,Санкт-Петербург,,Да,Да,200,,,,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
