Domain,Primary domain,Name,Domain type,Organization,Status,Region,GovSystem,HTTP Support,HTTPS Support,Statuscode,Is archived,Archives,Archive priority,Archive Strategy,ASN,ASN Country code,IPs,GovType
ffoms.ru,ffoms.gov.ru,Официальный сайт Фонда обязательного медицинского страхования,Сайт органа власти,Фонд обязательного медицинского страхования РФ,Перенаправляет,Российская Федерация,,Да,Нет,200,,,Не архивируется,,57145,RU,91.226.250.11,Федеральная исполнительная власть
gibdd.ru,,Официальный сайт ГИБДД при МВД РФ,Сайт подразделения при органе власти,МВД России,Перенаправляет,Российская Федерация,,Нет,Нет,,,,Не архивируется,,44560,RU,194.8.71.222,Федеральная исполнительная власть
oprf.ru,,Официальный сайт Общественной палаты РФ,Сайт общ/эксп/консультативного органа,Администрация Президента РФ,Активен,Российская Федерация,,Да,Да,200,,,Высокий,Web Archive,199624,RU,195.208.58.49,Федеральная исполнительная власть
msudrf.ru,,ГАС Правосудие,Сайт государственной информационной системы,Судебный департамент при Верховном суде РФ,Активен,Российская Федерация,"""ГАС РФ """"Правосудие""""""",Нет,Нет,,,,Наивысший,"Web Archive,Parser",12389,RU,79.133.87.8,Судебная власть
favr.ru,,Официальный сайт Росводресурсы,Сайт органа власти,Росводресурсы,Неактивен,Российская Федерация,,Нет,Нет,,,,Наивысший,Web Archive,,,,Федеральная исполнительная власть
xn--90adear.xn--p1ai,gibdd.ru,,Сайт органа власти,МВД России,Активен,Российская Федерация,,Да,Да,200,,,Наивысший,Web Archive,209030,RU,"82.202.189.119,82.202.189.118",Федеральная исполнительная власть
pfr.ru,pfrf.ru,,Сайт органа власти,Пенсионный фонд РФ,Неактивен,Российская Федерация,,Нет,Нет,,,,Наивысший,Web Archive,,,,Федеральная исполнительная власть
rsnet.ru,,Сайт сети RSNET (ФСО России),Иное,ФСО России,Активен,Российская Федерация,,Нет,Нет,,,,Малый,Web Archive,8291,RU,95.173.128.86,Федеральная исполнительная власть
gis-tek.ru,,ГИС ТЭК,Сайт государственной информационной системы,Минэнерго РФ,Активен,Российская Федерация,ГИС ТЭК,Нет,Да,,,,Средний,Web Archive,209030,RU,82.202.189.45,Федеральная исполнительная власть
gisee.ru,,ГИС Энергоэффективность,Сайт государственной информационной системы,Минэнерго РФ,Активен,Российская Федерация,ГИС «Энергоэффективность»,Да,Да,200,,,Незначительный,Web Archive,60628,RU,212.192.206.80,Федеральная исполнительная власть
statreport.ru,,Статистика операторов связи,Сайт государственной информационной системы,Минкомсвязь России,Активен,Российская Федерация,,Да,Да,500,,,Незначительный,Web Archive,49186,RU,185.194.34.25,Федеральная исполнительная власть
govprograms.ru,,Государственные программы РФ,Сайт государственной информационной системы,Минэкономразвития России,Активен,Российская Федерация,,Да,Да,200,,,Не архивируется,,42056,RU,91.206.121.134,Федеральная исполнительная власть
zhit-vmeste.ru,,Доступная среда,Сайт государственной программы/проекта,Минтруд России,Активен,Российская Федерация,,Нет,Нет,,,,Средний,Web Archive,43797,RU,95.173.156.157,Федеральная исполнительная власть
gosuslugi.ru,,Федеральный портал госуслуг,Сайт государственной информационной системы,Минкомсвязь России,Активен,Российская Федерация,Единый портал государственных и муниципальных услуг,Да,Да,200,,,Высокий,"Web Archive,Parser,API Export",196747,RU,109.207.1.97,Федеральная исполнительная власть
asi.ru,,Официальный сайт Агентства стратегических инициатив,Сайт государственной НКО,Агентство стратегических инициатив,Активен,Российская Федерация,,Да,Да,200,,,Высокий,Web Archive,47764,RU,89.208.211.41,Федеральная исполнительная власть
eskigov.ru,portal.eskigov.ru,ФГИС Координация информатизации,Сайт государственной информационной системы,Минкомсвязь России,Активен,Российская Федерация,ФГИС КИ,Да,Да,200,,,Высокий,Web Archive,51791,RU,91.207.79.31,Федеральная исполнительная власть
roi.ru,,Российская общественная инициатива,Иное,Фонд информационной демократии,Активен,Российская Федерация,,Да,Да,200,,,Высокий,"Web Archive,API Export,Data dump",196747,RU,"109.207.2.38,109.207.2.39",Федеральная исполнительная власть
o-spide.ru,,Профилактика ВИЧ/СПИД в России,Просветительский сайт,Минздрав России,Активен,Российская Федерация,,Да,Нет,200,,,Средний,Web Archive,199148,RU,194.0.219.62,Федеральная исполнительная власть
takzdorovo.ru,,Портал ТакЗдорово,Просветительский сайт,Минздрав России,Активен,Российская Федерация,,Да,Да,200,,,Средний,Web Archive,199148,RU,194.0.219.91,Федеральная исполнительная власть
gto.ru,,ВФСК ГТО,Сайт государственной НКО,АНО «Дирекция спортивных и социальных проектов»,Активен,Российская Федерация,,Да,Да,200,,,Средний,Web Archive,34879,RU,37.220.162.38,Федеральная исполнительная власть
